course_code,course_name,cycle,institution_code,institution_name,reference
9644,Design e Tecnologia das Artes Gráficas,Licenciatura - 1º ciclo,3242,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar,5.4.473
9563,Desporto,Licenciatura - 1º ciclo,3091,"Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto",5.4.343
9563,Desporto,Licenciatura - 1º ciclo,3022,Instituto Politécnico de Beja - Escola Superior de Educação,5.4.238
9563,Desporto,Licenciatura - 1º ciclo,3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,5.4.266
9563,Desporto,Licenciatura - 1º ciclo,3125,Instituto Politécnico de Portalegre - Escola Superior de Biociências de Elvas,5.4.409
9563,Desporto,Licenciatura - 1º ciclo,3151,Instituto Politécnico de Setúbal - Escola Superior de Educação,5.4.481
9563,Desporto,Licenciatura - 1º ciclo,3036,"Instituto Politécnico do Cávado e do Ave - Escola Superior de Desporto, Bem-Estar e Sistemas Biomédicos",5.4.246
9563,Desporto,Licenciatura - 1º ciclo,3131,Instituto Politécnico do Porto - Escola Superior de Educação,5.4.420
9563,Desporto,Licenciatura - 1º ciclo,3081,Universidade do Algarve - Escola Superior de Educação e Comunicação,5.4.330
9850,Desporto e Atividade Física,Licenciatura - 1º ciclo,3052,Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco,5.4.286
9850,Desporto e Atividade Física,Licenciatura - 1º ciclo,3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,5.4.512
9851,Desporto e Bem-Estar,Licenciatura - 1º ciclo,3101,Instituto Politécnico de Leiria - Escola Superior de Educação e Ciências Sociais,5.4.363
L034,"Desporto, Condição Física e Saúde",Licenciatura - 1º ciclo,3091,"Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto",5.4.344
L034,"Desporto, Condição Física e Saúde",Licenciatura - 1º ciclo,3145,Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior,5.4.458
9731,Desporto e Lazer,Licenciatura - 1º ciclo,3062,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,5.4.306
9731,Desporto e Lazer,Licenciatura - 1º ciclo,3165,Instituto Politécnico de Viana do Castelo - Escola Superior de Desporto e Lazer,5.4.495
9730,Desporto de Natureza e Turismo Ativo,Licenciatura - 1º ciclo,3145,Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior,5.4.459
8149,Dietética e Nutrição,Licenciatura - 1º ciclo,7015,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,5.4.272
8149,Dietética e Nutrição,Licenciatura - 1º ciclo,7210,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,5.4.313
8149,Dietética e Nutrição,Licenciatura - 1º ciclo,7045,Instituto Politécnico de Leiria - Escola Superior de Saúde,5.4.367
8149,Dietética e Nutrição,Licenciatura - 1º ciclo,7250,Instituto Politécnico de Lisboa - Escola Superior de Saúde de Lisboa,5.4.397
8149,Dietética e Nutrição,Licenciatura - 1º ciclo,7035,Universidade do Algarve - Escola Superior de Saúde,5.4.339
9076,Direção e Gestão Hoteleira,Licenciatura - 1º ciclo,7110,Escola Superior de Hotelaria e Turismo do Estoril,5.4.387
9076,Direção e Gestão Hoteleira,Licenciatura - 1º ciclo,3046,Instituto Politécnico de Bragança - Escola Superior de Hotelaria e Bem-Estar,5.4.506
9076,Direção e Gestão Hoteleira,Licenciatura - 1º ciclo,1321,Universidade da Madeira - Escola Superior de Tecnologias e Gestão,5.4.525
9078,Direito,Licenciatura - 1º ciclo,0502,Universidade de Coimbra - Faculdade de Direito,5.4.76
9078,Direito,Licenciatura - 1º ciclo,1504,Universidade de Lisboa - Faculdade de Direito,5.4.114
9078,Direito,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.161
9078,Direito,Licenciatura - 1º ciclo,1114,Universidade do Porto - Faculdade de Direito,5.4.200
9078,Direito,Licenciatura - 1º ciclo,0911,Universidade Nova de Lisboa - Faculdade de Direito,5.4.190
L402,Direito,Licenciatura - 1º ciclo,6800,ISCTE - Instituto Universitário de Lisboa,5.4.3
8358,Direito (regime pós-laboral),Licenciatura - 1º ciclo,1504,Universidade de Lisboa - Faculdade de Direito,5.4.114
8358,Direito (regime pós-laboral),Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.161
L090,Ecologia e Ambiente,Licenciatura - 1º ciclo,0602,Universidade de Évora - Escola de Ciências e Tecnologia,5.4.99
9081,Economia,Licenciatura - 1º ciclo,6800,ISCTE - Instituto Universitário de Lisboa,5.4.4
9081,Economia,Licenciatura - 1º ciclo,0400,Universidade da Beira Interior,5.4.57
9081,Economia,Licenciatura - 1º ciclo,1308,Universidade da Madeira - Faculdade de Ciências Sociais,5.4.152
9081,Economia,Licenciatura - 1º ciclo,0300,Universidade de Aveiro,5.4.41
9081,Economia,Licenciatura - 1º ciclo,0503,Universidade de Coimbra - Faculdade de Economia,5.4.76
9081,Economia,Licenciatura - 1º ciclo,0604,Universidade de Évora - Escola de Ciências Sociais,5.4.90
9081,Economia,Licenciatura - 1º ciclo,1517,Universidade de Lisboa - Instituto Superior de Economia e Gestão,5.4.138
9081,Economia,Licenciatura - 1º ciclo,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,5.4.216
9081,Economia,Licenciatura - 1º ciclo,0204,Universidade do Algarve - Faculdade de Economia,5.4.37
9081,Economia,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.162
9081,Economia,Licenciatura - 1º ciclo,1104,Universidade do Porto - Faculdade de Economia,5.4.201
9081,Economia,Licenciatura - 1º ciclo,0170,Universidade dos Açores - Faculdade de Economia e Gestão,5.4.27
9081,Economia,Licenciatura - 1º ciclo,0904,Universidade Nova de Lisboa - Faculdade de Economia,5.4.191
A020,Economia + Gestão,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.162
A021,Economia + Negócios Internacionais,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.163
A006,Economia (ensino em Inglês),Licenciatura - 1º ciclo,1517,Universidade de Lisboa - Instituto Superior de Economia e Gestão,5.4.138
