course_code,course_name,cycle,institution_code,institution_name,institution_sigla,reference,estatisticas_do_curso,detalhes_do_curso,nota_ult_col_2023_1a,nota_ult_col_2023_2a,nota_ult_col_2024_1a,nota_ult_col_2024_2a,nota_ult_col_2025_1a,nota_ult_col_2025_2a
9548,Medicina Dentária,Mestrado Integrado,1508,Universidade de Lisboa - Faculdade de Medicina Dentária,FMDUL,5.4.124,https://infocursos.medu.pt/dges.asp?code=1508&codc=9548,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9548&code=1508,178.3,180.3,178,183,177.8,181.8
9548,Medicina Dentária,Mestrado Integrado,1113,Universidade do Porto - Faculdade de Medicina Dentária,FMDUP,5.4.211,https://infocursos.medu.pt/dges.asp?code=1113&codc=9548,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9548&code=1113,176.8,182,174.8,180,178.3,183
9847,Medicina Veterinária,Mestrado Integrado,602,Universidade de Évora - Escola de Ciências e Tecnologia,ECT,5.4.102,https://infocursos.medu.pt/dges.asp?code=602&codc=9847,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9847&code=602,,,,,,
9847,Medicina Veterinária,Mestrado Integrado,1509,Universidade de Lisboa - Faculdade de Medicina Veterinária,FMV,5.4.125,https://infocursos.medu.pt/dges.asp?code=1509&codc=9847,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9847&code=1509,163.5,171.5,163,168.8,166.3,176.5
9847,Medicina Veterinária,Mestrado Integrado,1201,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,ECAV,5.4.214,https://infocursos.medu.pt/dges.asp?code=1201&codc=9847,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9847&code=1201,170.2,173.3,167.1,171.6,162.3,171.3
9847,Medicina Veterinária,Mestrado Integrado,1110,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,ICBAS,5.4.212,https://infocursos.medu.pt/dges.asp?code=1110&codc=9847,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9847&code=1110,172.8,178.5,170.8,175.3,171.3,179.5
8086,Medicina Veterinária (Preparatórios),Prep. Mestrado Integrado,140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,FCAA,5.4.20,https://infocursos.medu.pt/dges.asp?code=140&codc=8086,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8086&code=140,,,,,,
L298,"Meteorologia, Oceanografia e Clima",Licenciatura - 1º ciclo,300,Universidade de Aveiro,UA,5.4.49,https://infocursos.medu.pt/dges.asp?code=300&codc=L298,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L298&code=300,,,,,,
9212,"Meteorologia, Oceanografia e Geofísica",Licenciatura - 1º ciclo,1503,Universidade de Lisboa - Faculdade de Ciências,FCUL,5.4.113,https://infocursos.medu.pt/dges.asp?code=1503&codc=9212,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9212&code=1503,123.3,120,115,122.5,114,130.5
9213,Multimédia,Licenciatura - 1º ciclo,3045,"Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela",EsACT,5.4.263,https://infocursos.medu.pt/dges.asp?code=3045&codc=9213,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9213&code=3045,118.8,118.1,116.9,115.5,118.5,114.8
9213,Multimédia,Licenciatura - 1º ciclo,3331,Instituto Politécnico do Porto - Escola Superior de Media Artes e Design,ESMAD,5.4.428,https://infocursos.medu.pt/dges.asp?code=3331&codc=9213,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9213&code=3331,173.2,175.1,174.3,174.6,174,155.8
L254,Multimédia e Tecnologias da Comunicação,Licenciatura - 1º ciclo,300,Universidade de Aveiro,UA,5.4.50,https://infocursos.medu.pt/dges.asp?code=300&codc=L254,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L254&code=300,,,,,,
9214,Música,Licenciatura - 1º ciclo,300,Universidade de Aveiro,UA,II.1,https://infocursos.medu.pt/dges.asp?code=300&codc=9214,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9214&code=300,,,,,,
9214,Música,Licenciatura - 1º ciclo,603,Universidade de Évora - Escola de Artes,EA,II.1,https://infocursos.medu.pt/dges.asp?code=603&codc=9214,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9214&code=603,,,,,,
9214,Música,Licenciatura - 1º ciclo,1000,Universidade do Minho,UMinho,II.2,https://infocursos.medu.pt/dges.asp?code=1000&codc=9214,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9214&code=1000,,,,,,
L175,Música em Contextos Comunitários,Licenciatura - 1º ciclo,3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,ESEB,5.4.270,https://infocursos.medu.pt/dges.asp?code=3042&codc=L175,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L175&code=3042,,,,,,
L012,"Música, variante de Composição, Direção e Formação Musical",Licenciatura - 1º ciclo,3114,Instituto Politécnico de Lisboa - Escola Superior de Música,ESML,II.5,https://infocursos.medu.pt/dges.asp?code=3114&codc=L012,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L012&code=3114,,,,,,
L184,"Música, variante de Formação Musical, Direção Coral e Instrumental",Licenciatura - 1º ciclo,3055,Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas,ESART,II.2,https://infocursos.medu.pt/dges.asp?code=3055&codc=L184,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L184&code=3055,,,,,,
9784,"Música, variante de Instrumento",Licenciatura - 1º ciclo,3055,Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas,ESART,II.3,https://infocursos.medu.pt/dges.asp?code=3055&codc=9784,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9784&code=3055,,,,,,
